ID,Ni,Ni_Mg,Ni_Cu,Ni_Co,Zn_Ni,Mg,Cu_Mg,Co_Mg,Zn_Mg,Cu,Co_Cu,Zn_Cu,Co,Zn_Co,Zn
1,5,13,13,18,18,7,15,14,16,5,16,18,6,24,4
2,9,11,16,11,16,7,15,17,15,5,18,13,7,24,8
3,4,14,14,18,18,6,18,17,11,7,13,13,5,26,8
4,5,13,14,16,19,6,16,17,14,4,11,23,12,16,6
5,5,20,14,16,12,4,11,17,16,6,17,18,7,20,9
6,4,16,19,14,15,6,13,15,16,2,21,15,7,20,9
7,6,15,15,16,14,4,15,17,17,4,18,16,4,25,6
8,9,9,19,16,10,6,13,22,16,6,10,18,6,24,8
9,6,11,13,18,18,5,17,18,16,6,14,16,6,22,6
10,9,14,14,11,15,6,10,17,19,7,19,15,12,13,11
11,4,17,14,18,15,5,12,13,20,4,18,20,9,17,6
12,4,13,17,18,16,4,13,17,21,6,15,15,9,16,8
13,2,15,15,22,16,6,9,19,17,6,18,18,6,13,10
14,6,15,15,12,18,8,8,15,18,6,21,16,6,24,4
15,7,12,15,20,11,6,10,22,16,5,18,19,5,14,12
16,4,13,19,16,16,7,10,14,21,5,16,17,11,16,7
17,6,13,16,15,16,7,14,17,14,3,14,22,12,14,9
18,2,18,14,22,14,5,13,15,16,8,11,18,10,16,10
19,4,13,18,15,18,4,14,20,17,4,15,17,8,18,7
20,5,14,15,17,16,4,15,17,18,7,10,18,11,18,7
21,10,10,15,14,13,4,16,22,16,4,13,20,7,21,7
22,9,10,16,13,15,3,11,23,22,7,15,16,8,17,7
23,5,15,12,18,17,6,15,13,17,8,14,15,11,17,9
24,4,14,13,19,18,7,13,15,16,4,20,18,7,16,8
25,5,13,14,17,18,7,15,15,15,2,23,16,5,19,8
26,8,14,12,15,15,5,14,16,18,8,15,15,8,22,7
27,4,16,13,22,13,2,18,13,21,5,13,18,10,16,8
28,5,17,15,19,11,7,9,13,19,6,17,19,7,21,7
29,9,12,9,14,19,5,14,23,13,6,20,17,4,19,8
30,6,14,11,20,15,4,9,23,18,10,13,19,4,20,6
31,7,11,11,18,18,9,13,16,14,9,15,15,8,19,9
32,2,15,17,14,22,5,10,23,14,9,10,17,10,17,7
33,5,14,11,19,18,7,17,13,14,6,16,16,10,16,10
34,6,17,14,18,11,9,15,9,13,6,13,18,10,24,9
35,6,13,11,17,19,5,17,17,15,5,17,17,7,19,7
36,7,16,17,10,15,8,14,11,15,4,20,13,8,27,7
37,6,13,12,17,18,7,9,20,16,8,17,18,6,18,7
