ID,Ni,Ni_Mg,Cu_Ni,Co_Ni,Zn_Ni,Mg,Cu_Mg,Co_Mg,Zn_Mg,Cu,Co_Cu,Cu_Zn,Co,Co_Zn,Zn,energy
1,4,15,15,18,16,3,14,14,23,4,21,14,7,17,7,
2,6,14,13,15,18,8,11,14,17,6,20,16,11,13,10,
3,8,14,13,17,12,4,15,19,16,6,17,15,5,21,10,
4,5,16,12,19,15,5,16,14,16,6,20,12,7,17,12,
5,4,14,15,19,16,9,11,11,18,5,16,20,10,18,6,
6,5,14,13,17,18,5,18,13,17,4,15,18,12,15,8,
7,4,16,19,15,14,5,10,18,18,5,17,16,7,20,8,
8,3,12,17,15,22,8,15,13,16,8,11,13,13,19,7,
9,7,12,14,14,18,9,10,18,14,6,19,17,8,17,9,
10,1,15,14,19,22,3,14,24,13,5,15,19,6,14,8,
